time	V(vdrain)	V(vgate)	Id(M1)
2.558542852718667e-07	1.560094e-01	6.720994e+00	1.038499e+00
2.568542852718824e-07	1.537020e-01	6.780782e+00	1.038652e+00
2.578542852718982e-07	1.515230e-01	6.840207e+00	1.038805e+00
2.588542852719139e-07	1.494621e-01	6.899260e+00	1.038959e+00
2.598542852719297e-07	1.475103e-01	6.957937e+00	1.039113e+00
2.608542852719454e-07	1.456592e-01	7.016232e+00	1.039266e+00
2.618542852719612e-07	1.439015e-01	7.074142e+00	1.039420e+00
2.628542852719769e-07	1.422304e-01	7.131663e+00	1.039575e+00
2.638542852719927e-07	1.406398e-01	7.188793e+00	1.039729e+00
2.648542852720084e-07	1.391242e-01	7.245529e+00	1.039883e+00
2.658542852720241e-07	1.376786e-01	7.301870e+00	1.040038e+00
2.668542852720399e-07	1.362982e-01	7.357815e+00	1.040192e+00
2.678542852720556e-07	1.349789e-01	7.413363e+00	1.040347e+00
2.688542852720714e-07	1.337169e-01	7.468513e+00	1.040501e+00
2.698542852720871e-07	1.325085e-01	7.523264e+00	1.040656e+00
2.708542852721029e-07	1.313504e-01	7.577619e+00	1.040811e+00
2.718542852721186e-07	1.302398e-01	7.631576e+00	1.040966e+00
2.728542852721344e-07	1.291738e-01	7.685135e+00	1.041121e+00
2.738542852721501e-07	1.281499e-01	7.738299e+00	1.041276e+00
2.748542852721659e-07	1.271656e-01	7.791068e+00	1.041431e+00
2.758542852721816e-07	1.262188e-01	7.843442e+00	1.041586e+00
2.768542852721973e-07	1.253075e-01	7.895424e+00	1.041741e+00
2.778542852722131e-07	1.244296e-01	7.947015e+00	1.041896e+00
2.788542852722288e-07	1.235836e-01	7.998216e+00	1.042051e+00
2.798542852722446e-07	1.227677e-01	8.049028e+00	1.042206e+00
2.808542852722603e-07	1.219804e-01	8.099454e+00	1.042361e+00
2.818542852722761e-07	1.212203e-01	8.149495e+00	1.042516e+00
2.828542852722918e-07	1.204860e-01	8.199154e+00	1.042671e+00
2.838542852723076e-07	1.197764e-01	8.248430e+00	1.042826e+00
2.848542852723233e-07	1.190901e-01	8.297329e+00	1.042982e+00
2.858542852723391e-07	1.184261e-01	8.345850e+00	1.043137e+00
2.868542852723548e-07	1.177834e-01	8.393996e+00	1.043292e+00
2.878542852723705e-07	1.171611e-01	8.441771e+00	1.043447e+00
2.888542852723863e-07	1.165581e-01	8.489174e+00	1.043602e+00
2.898542852724020e-07	1.159737e-01	8.536209e+00	1.043758e+00
2.908542852724178e-07	1.154070e-01	8.582878e+00	1.043913e+00
2.918542852724335e-07	1.148572e-01	8.629184e+00	1.044068e+00
