time	V(N001,Vo)	I(D1)	I(L1)
4.851893255790283e-05	-1.492727e+00	8.012012e-01	8.012012e-01
5.015908504963100e-05	-1.517531e+00	7.861070e-01	7.861070e-01
5.179923754135916e-05	-1.541580e+00	7.709230e-01	7.709230e-01
5.343939003308733e-05	-1.564875e+00	7.556491e-01	7.556491e-01
5.507954252481550e-05	-1.587416e+00	7.402854e-01	7.402854e-01
5.671969501654368e-05	-1.609203e+00	7.248318e-01	7.248318e-01
5.835984750827184e-05	-1.630235e+00	7.092883e-01	7.092883e-01
6.000000000000001e-05	-1.650514e+00	6.936551e-01	6.936551e-01
6.000069778574963e-05	-1.650522e+00	6.936484e-01	6.936484e-01
6.000080442850078e-05	1.611989e+00	-6.664455e+01	6.936477e-01
6.000085829187560e-05	3.651529e+00	-1.504449e+02	6.936481e-01
6.000091377166942e-05	6.148147e+00	-2.014648e+02	6.936493e-01
6.000095670683847e-05	6.156148e+00	-2.006255e+02	6.936504e-01
6.000097709089257e-05	6.163817e+00	-1.905195e+02	6.936510e-01
6.000100000000001e-05	6.571619e+00	-1.591645e+02	6.936516e-01
6.000100074365511e-05	6.850622e+00	-1.314680e+02	6.936516e-01
6.000100152329979e-05	7.135218e+00	-1.046376e+02	6.936516e-01
6.000100308258915e-05	7.594767e+00	-6.220351e+01	6.936517e-01
6.000100501562416e-05	7.925103e+00	-2.814295e+01	6.936517e-01
6.000100677306109e-05	8.060762e+00	-1.236443e+01	6.936518e-01
6.000100878875503e-05	8.126261e+00	-4.861016e+00	6.936519e-01
6.000101111269075e-05	8.152528e+00	-1.672477e+00	6.936520e-01
6.000101449832364e-05	8.162222e+00	-3.754975e-01	6.936521e-01
6.000101915378062e-05	8.163498e+00	-3.586330e-02	6.936522e-01
6.000102713288829e-05	8.163422e+00	1.177535e-03	6.936525e-01
6.000104207177011e-05	8.163449e+00	-2.219062e-04	6.936530e-01
6.000107194953375e-05	8.163431e+00	6.589831e-05	6.936541e-01
6.000113170506103e-05	8.163443e+00	-2.581507e-05	6.936562e-01
6.000125121611557e-05	8.163428e+00	1.120269e-05	6.936604e-01
6.000149023822468e-05	8.163435e+00	-5.460732e-06	6.936687e-01
6.000196828244288e-05	8.163411e+00	2.448505e-06	6.936855e-01
6.000292437087930e-05	8.163401e+00	-1.404968e-06	6.937190e-01
6.000483654775212e-05	8.163344e+00	4.970158e-07	6.937861e-01
6.000866090149777e-05	8.163266e+00	-4.478497e-07	6.939201e-01
6.001630960898906e-05	8.163074e+00	2.306964e-08	6.941882e-01
6.003160702397164e-05	8.162725e+00	-2.119923e-07	6.947244e-01
6.006220185393682e-05	8.161992e+00	-9.454865e-08	6.957966e-01
6.012339151386717e-05	8.160557e+00	-1.532608e-07	6.979403e-01
6.024577083372787e-05	8.157644e+00	-1.239338e-07	7.022247e-01
6.049052947344927e-05	8.151808e+00	-1.386313e-07	7.107814e-01
6.098004675289207e-05	8.139929e+00	-1.313359e-07	7.278471e-01
6.195908131177766e-05	8.115616e+00	-1.346785e-07	7.618110e-01
6.488876881177766e-05	8.038947e+00	-1.341541e-07	8.623104e-01
6.635361256177766e-05	7.998579e+00	-1.385942e-07	9.119509e-01
6.675837845000000e-05	7.987146e+00	-1.366175e-07	9.255763e-01
6.741369042355532e-05	7.968308e+00	-2.514397e-06	9.475414e-01
6.741469042355532e-05	7.968291e+00	-1.328735e-06	9.475749e-01
6.741669042355533e-05	7.968221e+00	4.583562e-07	9.476417e-01
6.742069042355534e-05	7.968117e+00	-4.296793e-07	9.477754e-01
6.742869042355536e-05	7.967873e+00	1.298031e-08	9.480427e-01
6.744469042355539e-05	7.967419e+00	-2.080148e-07	9.485773e-01
6.747669042355546e-05	7.966477e+00	-9.761425e-08	9.496463e-01
6.754069042355560e-05	7.964626e+00	-1.528048e-07	9.517834e-01
6.766869042355588e-05	7.960876e+00	-1.252338e-07	9.560541e-01
6.792469042355644e-05	7.953390e+00	2.200145e-06	9.645889e-01
6.792569042355645e-05	7.953349e+00	1.039909e-06	9.646222e-01
6.792769042355645e-05	7.953302e+00	-7.172736e-07	9.646888e-01
6.793169042355646e-05	7.953173e+00	1.558898e-07	9.648220e-01
6.793969042355648e-05	7.952949e+00	-2.793580e-07	9.650884e-01
6.795569042355651e-05	7.952467e+00	-6.205907e-08	9.656211e-01
6.798769042355658e-05	7.951536e+00	-1.706164e-07	9.666863e-01
6.805169042355672e-05	7.949639e+00	-1.514616e-07	9.688162e-01
6.809522219999972e-05	7.948366e+00	-1.311010e-07	9.702644e-01
6.813615864711400e-05	7.947146e+00	-5.233317e-07	9.716260e-01
6.815173062308636e-05	7.946687e+00	-2.325396e-08	9.721438e-01
6.817249325771616e-05	7.946084e+00	4.983895e-09	9.728341e-01
6.818169693074039e-05	7.945800e+00	-9.177408e-09	9.731400e-01
6.820010427678884e-05	7.945266e+00	2.034935e-06	9.737518e-01
6.820110427678884e-05	7.945226e+00	1.014977e-06	9.737851e-01
6.820310427678885e-05	7.945178e+00	-7.049724e-07	9.738516e-01
6.820710427678886e-05	7.945048e+00	1.497004e-07	9.739845e-01
6.821510427678887e-05	7.944823e+00	1.841079e-06	9.742504e-01
6.821610427678888e-05	7.944782e+00	9.968741e-07	9.742836e-01
