time	I(D1)
1.954051377725113e-05	3.458868e-01
1.954451377725112e-05	3.458999e-01
1.954911009851384e-05	3.458579e-01
1.955830274103928e-05	3.458268e-01
1.957668802609015e-05	3.457171e-01
1.961091739208287e-05	3.455346e-01
1.967937612406830e-05	3.451578e-01
1.981629358803918e-05	3.442994e-01
1.981729358803917e-05	3.443480e-01
1.981929358803917e-05	3.444204e-01
1.982329358803917e-05	3.443676e-01
1.982804734186640e-05	3.443566e-01
1.983755484952085e-05	3.442885e-01
1.985656986482976e-05	3.441925e-01
1.989459989544758e-05	3.439825e-01
1.992493993876436e-05	3.438128e-01
1.994031991336644e-05	3.437286e-01
1.997107986257061e-05	3.434708e-01
1.997207986257061e-05	3.435094e-01
1.997407986257061e-05	3.435702e-01
1.997807986257060e-05	3.435211e-01
1.998298474773157e-05	3.435057e-01
1.999119022967806e-05	3.435270e-01
1.999219022967806e-05	3.434906e-01
1.999419022967806e-05	3.434254e-01
1.999700000000001e-05	3.433746e-01
1.999800000000000e-05	3.434140e-01
1.999900000000000e-05	3.434131e-01
2.000000000000000e-05	3.434034e-01
2.000100000000000e-05	3.416284e-01
2.000100219940954e-05	3.418282e-01
2.000100659822861e-05	3.421649e-01
2.000101539586675e-05	3.426463e-01
2.000102585795956e-05	3.429831e-01
2.000104353808164e-05	3.432313e-01
2.000107889832580e-05	3.433859e-01
2.000114961881413e-05	3.434793e-01
2.000126593149636e-05	3.436433e-01
2.000141035250409e-05	3.439736e-01
2.000160027974709e-05	3.446076e-01
2.000177447409755e-05	3.453917e-01
2.000200000000000e-05	3.466029e-01
2.000202255259024e-05	3.467380e-01
2.000206765777074e-05	3.469969e-01
2.000215786813172e-05	3.474566e-01
2.000233828885368e-05	3.481720e-01
2.000265741867252e-05	3.490091e-01
2.000299621231917e-05	3.494940e-01
2.000332193919024e-05	3.496945e-01
2.000365855134397e-05	3.497660e-01
2.000423411341732e-05	3.498384e-01
2.000481954014119e-05	3.502554e-01
2.000541809363255e-05	3.516423e-01
2.000601023817595e-05	3.541169e-01
2.000654591698467e-05	3.569236e-01
2.000721283553279e-05	3.604601e-01
2.000831413751409e-05	3.656198e-01
2.000965034371300e-05	3.703806e-01
2.001182394421258e-05	3.755916e-01
2.001342116065556e-05	3.780688e-01
2.001492502422447e-05	3.795533e-01
2.001669009903637e-05	3.807602e-01
2.001802498466057e-05	3.813896e-01
2.001897489396655e-05	3.816257e-01
2.001966703145420e-05	3.816131e-01
2.002045797744039e-05	3.814537e-01
2.002140495562234e-05	3.811984e-01
2.002220493421068e-05	3.809272e-01
2.002291664871316e-05	3.806069e-01
2.002379244359294e-05	3.801166e-01
2.002468620581650e-05	3.795661e-01
2.002571247580409e-05	3.789219e-01
2.002690923549284e-05	3.781797e-01
2.002930275487034e-05	3.767368e-01
2.003299385162729e-05	3.618178e-01
2.003904695225417e-05	1.923455e-01
2.004242639783355e-05	-1.425389e-01
2.004523604987691e-05	-6.589142e-01
2.004934947610833e-05	-1.503838e+00
2.005319492098372e-05	-6.715995e-01
2.005395224555233e-05	-1.458989e-01
2.005451656523917e-05	-1.688269e-02
2.005472027937445e-05	4.781080e-03
2.005489850685807e-05	-5.227022e-02
2.005498508889755e-05	2.245821e-02
2.005504096963807e-05	-3.229594e-02
2.005507744661132e-05	-1.605887e-02
2.005510661083694e-05	1.164043e-02
2.005513719635047e-05	-1.672748e-02
2.005516506432515e-05	-2.043716e-03
2.005520080275137e-05	-1.338739e-02
2.005524717477146e-05	-9.104024e-03
2.005531524816923e-05	-1.188053e-02
2.005543062486595e-05	-1.110416e-02
2.005562256138206e-05	-1.207835e-02
2.005598867495440e-05	-1.198827e-02
2.005660246663937e-05	-1.204364e-02
2.005783005000931e-05	-1.148656e-02
2.005988851330222e-05	-1.077177e-02
2.006400543988805e-05	-9.465851e-03
2.007223929305971e-05	-7.366379e-03
2.008398421383641e-05	-5.037643e-03
2.010000413100660e-05	-3.198208e-03
2.011753828615894e-05	-2.456262e-03
2.013419328170648e-05	-2.225430e-03
2.015679391821915e-05	-1.980728e-03
2.018661890729136e-05	-7.466146e-04
2.019375946066572e-05	-3.359504e-04
2.020070761828290e-05	-1.767250e-04
2.020403104832052e-05	-1.237923e-04
2.020710203850721e-05	-9.959576e-05
2.020929132406872e-05	-8.837997e-05
2.021129130776691e-05	-6.934934e-05
2.021332505700328e-05	-6.970439e-05
2.021518475461214e-05	-5.791853e-05
2.021727683836258e-05	-5.507717e-05
2.021951141264710e-05	-4.891071e-05
2.022213925289739e-05	-4.198534e-05
2.022530244881488e-05	-3.909489e-05
2.022931489195371e-05	-3.079409e-05
2.023431482866914e-05	-2.846883e-05
2.024144175682278e-05	-2.047061e-05
2.024996013224277e-05	-1.851555e-05
2.026699688308275e-05	-1.054749e-05
2.028885160772843e-05	-7.598555e-06
2.032243819491067e-05	-3.898163e-06
2.036065511179863e-05	-2.344415e-06
2.039968062113774e-05	-1.259872e-06
2.044830933987456e-05	-1.055846e-06
2.051101499438567e-05	-3.675239e-07
2.058776039318394e-05	-3.526598e-07
2.068581611474089e-05	-5.169410e-09
2.081217145984108e-05	-9.417921e-08
2.097801547183040e-05	9.027639e-08
2.122133607558134e-05	-3.324435e-08
2.158452996837680e-05	7.069661e-08
2.221913475054507e-05	-9.158005e-09
2.348834431488161e-05	3.236671e-08
2.544146931488161e-05	1.944136e-08
2.739459431488161e-05	-5.023188e-08
2.784887500000000e-05	-2.700835e-08
2.875743637023676e-05	-3.986509e-05
2.875843637023676e-05	-2.001761e-05
2.876043637023676e-05	9.907953e-06
2.876443637023675e-05	-4.579066e-06
2.877194586955393e-05	2.595236e-06
2.878678494882594e-05	-1.302687e-06
2.881646310736996e-05	6.751313e-07
2.887581942445801e-05	-3.130796e-07
2.899453205863410e-05	1.807542e-07
2.923195732698628e-05	2.617268e-07
2.932714946329563e-05	2.210339e-07
2.951753373591434e-05	3.863386e-05
2.951853373591434e-05	1.949056e-05
2.952053373591434e-05	-9.609619e-06
2.952453373591433e-05	4.341027e-06
