time	V(n003)
2.328471546149094e-04	0.000000e+00
2.333354358649094e-04	0.000000e+00
2.338237171149094e-04	0.000000e+00
2.343119983649094e-04	0.000000e+00
2.348002796149094e-04	0.000000e+00
2.352885608649094e-04	0.000000e+00
2.357768421149094e-04	0.000000e+00
2.362651233649094e-04	0.000000e+00
2.367534046149094e-04	0.000000e+00
2.372416858649094e-04	0.000000e+00
2.377299671149094e-04	0.000000e+00
2.382182483649094e-04	0.000000e+00
2.387065296149094e-04	0.000000e+00
2.391948108649094e-04	0.000000e+00
2.395127187500000e-04	0.000000e+00
2.395137187500000e-04	0.000000e+00
2.395157187500000e-04	0.000000e+00
2.395197187500001e-04	0.000000e+00
2.395246727986233e-04	0.000000e+00
2.395345808958696e-04	0.000000e+00
2.395543970903622e-04	0.000000e+00
2.395940294793474e-04	0.000000e+00
2.396732942573178e-04	0.000000e+00
2.398318238132587e-04	0.000000e+00
2.398328238132587e-04	0.000000e+00
2.398348238132587e-04	0.000000e+00
2.398388238132588e-04	0.000000e+00
2.398436603970968e-04	0.000000e+00
2.398533335647728e-04	0.000000e+00
2.398726799001247e-04	0.000000e+00
2.399113725708287e-04	0.000000e+00
2.399236146585921e-04	0.000000e+00
2.399480988341188e-04	0.000000e+00
2.399520316489466e-04	0.000000e+00
2.399598972786022e-04	0.000000e+00
2.399756285379133e-04	0.000000e+00
2.399766285379133e-04	0.000000e+00
2.399786285379134e-04	0.000000e+00
2.399826285379134e-04	0.000000e+00
2.399876260934390e-04	0.000000e+00
2.399910048889488e-04	0.000000e+00
2.399942424089805e-04	0.000000e+00
2.399945249599365e-04	0.000000e+00
2.399950900618483e-04	0.000000e+00
2.399957696246924e-04	0.000000e+00
2.399964161185779e-04	0.000000e+00
2.399974124216551e-04	0.000000e+00
2.399986709927712e-04	0.000000e+00
2.399991890948732e-04	0.000000e+00
2.399999637957959e-04	0.000000e+00
2.400010000000000e-04	0.000000e+00
2.400010022729114e-04	3.409367e-02
2.400010068187343e-04	1.022810e-01
2.400010159103801e-04	2.386557e-01
2.400010278611078e-04	4.179166e-01
2.400010517625632e-04	7.764385e-01
2.400010973268432e-04	1.459903e+00
2.400011884554031e-04	2.826831e+00
2.400013079738019e-04	4.619607e+00
2.400014729009353e-04	7.093514e+00
2.400016692914665e-04	1.003937e+01
2.400017514248927e-04	1.127137e+01
2.400018357331477e-04	1.253600e+01
2.400020000000000e-04	1.500000e+01
2.400020492800557e-04	1.500000e+01
2.400021149867966e-04	1.500000e+01
2.400022464002784e-04	1.500000e+01
2.400025092272421e-04	1.500000e+01
2.400028302179017e-04	1.500000e+01
2.400031276834573e-04	1.500000e+01
2.400034370623740e-04	1.500000e+01
2.400038313675748e-04	1.500000e+01
2.400045772822319e-04	1.500000e+01
2.400051207953952e-04	1.500000e+01
2.400057511066319e-04	1.500000e+01
2.400062378041978e-04	1.500000e+01
2.400068038366217e-04	1.500000e+01
2.400077550189085e-04	1.500000e+01
2.400092651765864e-04	1.500000e+01
2.400110078600286e-04	1.500000e+01
2.400128512616340e-04	1.500000e+01
2.400144004625124e-04	1.500000e+01
2.400160645647529e-04	1.500000e+01
2.400175329218147e-04	1.500000e+01
2.400186909136396e-04	1.500000e+01
2.400194358539006e-04	1.500000e+01
2.400202141097974e-04	1.500000e+01
2.400210049091662e-04	1.500000e+01
2.400218358588128e-04	1.500000e+01
2.400225538458544e-04	1.500000e+01
2.400233620400406e-04	1.500000e+01
2.400242101953471e-04	1.500000e+01
2.400250359480382e-04	1.500000e+01
2.400260749072667e-04	1.500000e+01
2.400280244642883e-04	1.500000e+01
2.400319235783314e-04	1.500000e+01
2.400360838214058e-04	1.500000e+01
2.400425369049905e-04	1.500000e+01
2.400474187325820e-04	1.500000e+01
2.400526076496112e-04	1.500000e+01
2.400581436682809e-04	1.500000e+01
2.400601071942160e-04	1.500000e+01
2.400606886338404e-04	1.500000e+01
2.400610862646424e-04	1.500000e+01
2.400611963264253e-04	1.500000e+01
2.400612769552882e-04	1.500000e+01
2.400613203752069e-04	1.500000e+01
2.400613519630448e-04	1.500000e+01
2.400613772476630e-04	1.500000e+01
2.400614038260789e-04	1.500000e+01
2.400614302551367e-04	1.500000e+01
2.400614648347843e-04	1.500000e+01
2.400615137330567e-04	1.500000e+01
2.400615902862840e-04	1.500000e+01
2.400617270635589e-04	1.500000e+01
2.400619725215256e-04	1.500000e+01
2.400624456979846e-04	1.500000e+01
2.400633680375267e-04	1.500000e+01
2.400652127166108e-04	1.500000e+01
2.400689020747790e-04	1.500000e+01
2.400762807911154e-04	1.500000e+01
2.400885344978895e-04	1.500000e+01
2.401043972489238e-04	1.500000e+01
2.401220052271012e-04	1.500000e+01
2.401390540466196e-04	1.500000e+01
2.401639154097730e-04	1.500000e+01
2.401964299016484e-04	1.500000e+01
2.402051014616712e-04	1.500000e+01
2.402145386416354e-04	1.500000e+01
2.402206431770756e-04	1.500000e+01
2.402268952323983e-04	1.500000e+01
2.402333709069475e-04	1.500000e+01
2.402397920421252e-04	1.500000e+01
2.402470494218133e-04	1.500000e+01
2.402544638596001e-04	1.500000e+01
2.402637349147335e-04	1.500000e+01
2.402727937572208e-04	1.500000e+01
2.402847348794784e-04	1.500000e+01
2.402983348871873e-04	1.500000e+01
2.403176967470223e-04	1.500000e+01
2.403427236706146e-04	1.500000e+01
2.403877293380796e-04	1.500000e+01
2.404307556657426e-04	1.500000e+01
2.404892706544617e-04	1.500000e+01
2.405536852945677e-04	1.500000e+01
2.406450928943393e-04	1.500000e+01
2.407525924478183e-04	1.500000e+01
2.409063996014051e-04	1.500000e+01
2.410908866313787e-04	1.500000e+01
2.414113819966582e-04	1.500000e+01
2.418354786060281e-04	1.500000e+01
2.423237598560281e-04	1.500000e+01
2.428120411060281e-04	1.500000e+01
2.433003223560281e-04	1.500000e+01
2.437886036060281e-04	1.500000e+01
2.486714161060281e-04	1.500000e+01
2.491596973560281e-04	1.500000e+01
2.493137187500000e-04	1.500000e+01
2.494939572120562e-04	1.500000e+01
2.494949572120562e-04	1.500000e+01
2.494969572120562e-04	1.500000e+01
2.494993911329434e-04	1.500000e+01
2.495020031284042e-04	1.500000e+01
2.495063738825418e-04	1.500000e+01
2.495113433253372e-04	1.500000e+01
2.495187178453852e-04	1.500000e+01
2.495286868970308e-04	1.500000e+01
2.495422132659399e-04	1.500000e+01
2.495645644295444e-04	1.500000e+01
2.496029984619437e-04	1.500000e+01
2.496792268246339e-04	1.500000e+01
2.496802268246339e-04	1.500000e+01
2.496822268246339e-04	1.500000e+01
2.496857446150621e-04	1.500000e+01
2.496893222270461e-04	1.500000e+01
2.496964774510141e-04	1.500000e+01
2.497061104803726e-04	1.500000e+01
2.497211844741955e-04	1.500000e+01
2.497487576441099e-04	1.500000e+01
2.497497576441099e-04	1.500000e+01
2.497517576441100e-04	1.500000e+01
2.497557576441100e-04	1.500000e+01
2.497603006001093e-04	1.500000e+01
2.497693865121077e-04	1.500000e+01
2.497841096661509e-04	1.500000e+01
2.497851096661509e-04	1.500000e+01
2.497871096661509e-04	1.500000e+01
2.497911096661510e-04	1.500000e+01
2.497966440680612e-04	1.500000e+01
2.497976440680612e-04	1.500000e+01
2.497996440680612e-04	1.500000e+01
2.498006440680613e-04	1.500000e+01
2.498010000000000e-04	1.500000e+01
2.498012881361225e-04	1.500000e+01
2.498014237277550e-04	1.500000e+01
2.498016949110201e-04	1.500000e+01
2.498020000000000e-04	1.500000e+01
2.498020305088980e-04	1.454237e+01
2.498020915266940e-04	1.362710e+01
2.498022135622859e-04	1.179657e+01
2.498024576334699e-04	8.135498e+00
2.498025118576322e-04	7.322135e+00
2.498026203059569e-04	5.695411e+00
2.498027831033508e-04	3.253450e+00
2.498030000000000e-04	1.793232e-11
2.498030216896650e-04	0.000000e+00
2.498030650689948e-04	0.000000e+00
2.498031518276546e-04	0.000000e+00
2.498033253449740e-04	0.000000e+00
2.498036723796129e-04	0.000000e+00
2.498041886270413e-04	0.000000e+00
2.498049664101234e-04	0.000000e+00
2.498056083713804e-04	0.000000e+00
2.498058982181392e-04	0.000000e+00
2.498060840642944e-04	0.000000e+00
2.498063121336436e-04	0.000000e+00
2.498064645351413e-04	0.000000e+00
2.498066048484682e-04	0.000000e+00
2.498067837497459e-04	0.000000e+00
2.498069658206563e-04	0.000000e+00
2.498072301528718e-04	0.000000e+00
2.498075125083770e-04	0.000000e+00
2.498079748814240e-04	0.000000e+00
2.498084425719122e-04	0.000000e+00
2.498093779528885e-04	0.000000e+00
2.498106440606735e-04	0.000000e+00
2.498116849268088e-04	0.000000e+00
2.498125999345764e-04	0.000000e+00
2.498134368647416e-04	0.000000e+00
2.498143386780475e-04	0.000000e+00
2.498153543496823e-04	0.000000e+00
2.498173856929519e-04	0.000000e+00
2.498198672457224e-04	0.000000e+00
2.498237878409441e-04	0.000000e+00
2.498280200019215e-04	0.000000e+00
2.498335482781782e-04	0.000000e+00
2.498390923616018e-04	0.000000e+00
2.498464210144725e-04	0.000000e+00
2.498540014827566e-04	0.000000e+00
2.498639646940869e-04	0.000000e+00
2.498732858619883e-04	0.000000e+00
2.498868601609197e-04	0.000000e+00
2.498999317518006e-04	0.000000e+00
2.499110561422664e-04	0.000000e+00
2.499216623382731e-04	0.000000e+00
2.499305726445889e-04	0.000000e+00
2.499368619113827e-04	0.000000e+00
2.499405257869835e-04	0.000000e+00
2.499439852861716e-04	0.000000e+00
2.499489435583331e-04	0.000000e+00
2.499536402180137e-04	0.000000e+00
2.499630335373748e-04	0.000000e+00
2.499721399807495e-04	0.000000e+00
2.499869804951629e-04	0.000000e+00
2.500023296050541e-04	0.000000e+00
2.500259275982085e-04	0.000000e+00
2.500470922468918e-04	0.000000e+00
2.500616859991581e-04	0.000000e+00
2.500760608829757e-04	0.000000e+00
2.500821853426482e-04	0.000000e+00
2.500860490921299e-04	0.000000e+00
2.500881654274930e-04	0.000000e+00
2.500893345382749e-04	0.000000e+00
2.500899911705204e-04	0.000000e+00
2.500906656775908e-04	0.000000e+00
2.500913650039811e-04	0.000000e+00
2.500924342432831e-04	0.000000e+00
2.500939699395070e-04	0.000000e+00
2.500959367563625e-04	0.000000e+00
2.500978808426414e-04	0.000000e+00
2.501007755979299e-04	0.000000e+00
2.501038630863715e-04	0.000000e+00
2.501078823127265e-04	0.000000e+00
2.501129543700072e-04	0.000000e+00
2.501181945031567e-04	0.000000e+00
2.501264983448482e-04	0.000000e+00
2.501372083401308e-04	0.000000e+00
2.501488693472041e-04	0.000000e+00
2.501615185870090e-04	0.000000e+00
2.501756397390231e-04	0.000000e+00
2.501908039156760e-04	0.000000e+00
2.502078565096405e-04	0.000000e+00
2.502278862861416e-04	0.000000e+00
2.502557760669538e-04	0.000000e+00
2.502832628022821e-04	0.000000e+00
2.503149885648404e-04	0.000000e+00
2.503502878890072e-04	0.000000e+00
2.503983282222027e-04	0.000000e+00
2.504611608915235e-04	0.000000e+00
2.505485826550049e-04	0.000000e+00
2.506763073098809e-04	0.000000e+00
2.508603872903198e-04	0.000000e+00
2.511673450467748e-04	0.000000e+00
2.516556262967748e-04	0.000000e+00
2.521439075467748e-04	0.000000e+00
2.526321887967748e-04	0.000000e+00
2.531204700467748e-04	0.000000e+00
2.536087512967748e-04	0.000000e+00
2.540970325467748e-04	0.000000e+00
2.545853137967748e-04	0.000000e+00
2.550735950467748e-04	0.000000e+00
2.555618762967748e-04	0.000000e+00
2.560501575467748e-04	0.000000e+00
2.565384387967748e-04	0.000000e+00
2.570267200467748e-04	0.000000e+00
2.575150012967748e-04	0.000000e+00
2.580032825467748e-04	0.000000e+00
2.584915637967748e-04	0.000000e+00
2.589798450467748e-04	0.000000e+00
2.594681262967748e-04	0.000000e+00
2.595127187500000e-04	0.000000e+00
2.596019036564505e-04	0.000000e+00
2.597802734693515e-04	0.000000e+00
2.597812734693515e-04	0.000000e+00
2.597832734693516e-04	0.000000e+00
2.597872734693516e-04	0.000000e+00
2.597930215334617e-04	0.000000e+00
2.598045176616817e-04	0.000000e+00
2.598275099181217e-04	0.000000e+00
2.598734944310018e-04	0.000000e+00
2.599090309742399e-04	0.000000e+00
2.599299269135238e-04	0.000000e+00
2.599592081214322e-04	0.000000e+00
2.599602081214322e-04	0.000000e+00
2.599622081214323e-04	0.000000e+00
2.599662081214323e-04	0.000000e+00
2.599716885870951e-04	0.000000e+00
2.599826495184205e-04	0.000000e+00
2.599836495184205e-04	0.000000e+00
2.599856495184205e-04	0.000000e+00
2.599896495184206e-04	0.000000e+00
2.599950222608873e-04	0.000000e+00
2.599960222608873e-04	0.000000e+00
2.599980222608874e-04	0.000000e+00
2.599990222608874e-04	0.000000e+00
2.600000222608874e-04	0.000000e+00
2.600010000000000e-04	0.000000e+00
2.600010021524858e-04	3.228728e-02
2.600010064574572e-04	9.686185e-02
2.600010150674001e-04	2.260110e-01
2.600010259336610e-04	3.890049e-01
2.600010382254310e-04	5.733815e-01
2.600010628089710e-04	9.421346e-01
2.600011119760508e-04	1.679641e+00
2.600012103102105e-04	3.154653e+00
2.600013375676008e-04	5.063514e+00
2.600015099404618e-04	7.649107e+00
2.600017151141287e-04	1.072671e+01
2.600017411616103e-04	1.111742e+01
2.600017932565735e-04	1.189885e+01
2.600018974465000e-04	1.346170e+01
2.600020000000001e-04	1.500000e+01
2.600020307660501e-04	1.500000e+01
2.600020717874501e-04	1.500000e+01
2.600021538302502e-04	1.500000e+01
2.600023179158503e-04	1.500000e+01
2.600026460870506e-04	1.500000e+01
