time	I(L1)
2.951753373591434e-05	6.985262e-01
2.951853373591434e-05	6.985629e-01
2.952053373591434e-05	6.986364e-01
2.952453373591433e-05	6.987831e-01
2.953183046111705e-05	6.990509e-01
2.954642391152248e-05	6.995864e-01
2.957561081233334e-05	7.006571e-01
2.963398461395506e-05	7.027981e-01
2.968525239675656e-05	7.046780e-01
2.969946443439701e-05	7.051990e-01
2.972788850967792e-05	7.062408e-01
2.974515184943818e-05	7.068735e-01
2.976747332047946e-05	7.076915e-01
2.976847332047946e-05	7.077281e-01
2.977047332047946e-05	7.078014e-01
2.977447332047946e-05	7.079480e-01
2.978166474530127e-05	7.082114e-01
2.978761715035637e-05	7.084295e-01
2.979009518988978e-05	7.085203e-01
2.979505126895660e-05	7.087018e-01
2.979605126895660e-05	7.087385e-01
2.979805126895659e-05	7.088118e-01
2.979905126895659e-05	7.088484e-01
2.980000000000000e-05	7.088832e-01
2.980010253791318e-05	7.088869e-01
2.980030761373955e-05	7.088944e-01
2.980071776539229e-05	7.089095e-01
2.980122202439588e-05	7.089279e-01
2.980200000000000e-05	7.089564e-01
2.980207779756041e-05	7.089593e-01
2.980223339268123e-05	7.089649e-01
2.980254458292288e-05	7.089764e-01
2.980300000000000e-05	7.089931e-01
2.980304554170771e-05	7.089947e-01
2.980313662512313e-05	7.089980e-01
2.980331879195398e-05	7.090047e-01
2.980368312561567e-05	7.090181e-01
2.980418504452888e-05	7.090365e-01
2.980494892745860e-05	7.090644e-01
2.980559795909478e-05	7.090882e-01
2.980588907601108e-05	7.090989e-01
2.980607705637377e-05	7.091058e-01
2.980630957682881e-05	7.091143e-01
2.980645715032142e-05	7.091197e-01
2.980659941501862e-05	7.091249e-01
2.980677408094676e-05	7.091313e-01
2.980695758679369e-05	7.091380e-01
2.980722443610524e-05	7.091478e-01
2.980750609924114e-05	7.091581e-01
2.980796049830003e-05	7.091748e-01
2.980842840630704e-05	7.091919e-01
2.980936422232107e-05	7.092262e-01
2.981062064823105e-05	7.092722e-01
2.981165992487891e-05	7.093103e-01
2.981256691617938e-05	7.093435e-01
2.981340765316109e-05	7.093743e-01
2.981431231941836e-05	7.094074e-01
2.981532383506329e-05	7.094445e-01
2.981734686635313e-05	7.095186e-01
2.981981178461116e-05	7.096089e-01
2.982370292037867e-05	7.097514e-01
2.982792966924468e-05	7.099062e-01
2.983342777752661e-05	7.101076e-01
2.983896951509389e-05	7.103105e-01
2.984625330373296e-05	7.105770e-01
2.985383063726964e-05	7.108541e-01
2.986372021154430e-05	7.112155e-01
2.987281626603186e-05	7.115475e-01
2.988587119311674e-05	7.120231e-01
2.989826029579577e-05	7.124732e-01
2.990936113054522e-05	7.128744e-01
2.992035851297037e-05	7.132683e-01
2.992814782947188e-05	7.135429e-01
2.993684844612611e-05	7.138429e-01
2.994016976386695e-05	7.139547e-01
2.994328789803557e-05	7.140574e-01
2.994572766105193e-05	7.141366e-01
2.994810441002463e-05	7.142125e-01
2.995285790797002e-05	7.143615e-01
2.995822831869135e-05	7.145249e-01
2.996756778496889e-05	7.147977e-01
2.997803149027038e-05	7.150871e-01
2.999110279002354e-05	7.154226e-01
3.000719886572005e-05	7.157950e-01
3.002882852941548e-05	7.162246e-01
3.005133879980171e-05	7.165817e-01
3.006677244528640e-05	7.167456e-01
3.008252483990509e-05	7.168292e-01
3.008915317402240e-05	7.168348e-01
3.009336220766990e-05	7.168244e-01
3.009567504336345e-05	7.168147e-01
3.009705255722276e-05	7.168075e-01
3.009775758274814e-05	7.168034e-01
3.009842134430784e-05	7.167994e-01
3.009913718335270e-05	7.167948e-01
3.010013201881353e-05	7.167884e-01
3.010160406431544e-05	7.167785e-01
3.010340662349969e-05	7.167660e-01
3.010532391285861e-05	7.167525e-01
3.010824922396123e-05	7.167314e-01
3.011097694714305e-05	7.167115e-01
3.011518865146481e-05	7.166803e-01
3.012068471207655e-05	7.166395e-01
3.012640519684140e-05	7.165965e-01
3.013463988764536e-05	7.165341e-01
3.014505762321474e-05	7.164549e-01
3.015684687501570e-05	7.163649e-01
3.016945583949919e-05	7.162681e-01
3.018365036535581e-05	7.161589e-01
3.019873572519310e-05	7.160426e-01
3.021571623140359e-05	7.159115e-01
3.023542756892994e-05	7.157591e-01
3.026314307287389e-05	7.155446e-01
3.029101737317471e-05	7.153287e-01
3.032233742677659e-05	7.150860e-01
3.035871912244835e-05	7.148040e-01
3.040666270036809e-05	7.144322e-01
3.047122881768960e-05	7.139314e-01
3.055802365639376e-05	7.132578e-01
3.068950976710636e-05	7.122368e-01
3.087217631490251e-05	7.108170e-01
3.118660208982455e-05	7.083697e-01
3.175676389610263e-05	7.039200e-01
3.289708750865880e-05	6.949796e-01
3.485021250865880e-05	6.795713e-01
3.680333750865880e-05	6.640610e-01
3.804787500000000e-05	6.541264e-01
3.804887500000000e-05	6.541184e-01
3.805087500000000e-05	6.541023e-01
3.805487500000001e-05	6.540703e-01
3.806060827185250e-05	6.540243e-01
3.807207481555747e-05	6.539324e-01
3.809500790296742e-05	6.537485e-01
3.814087407778732e-05	6.533807e-01
3.823260642742711e-05	6.526449e-01
3.841607112670669e-05	6.511723e-01
3.878300052526586e-05	6.482243e-01
3.926714120288166e-05	6.443310e-01
3.926814120288167e-05	6.443229e-01
3.927014120288167e-05	6.443068e-01
3.927414120288168e-05	6.442746e-01
3.927967788554760e-05	6.442300e-01
3.929075125087944e-05	6.441408e-01
3.931289798154312e-05	6.439625e-01
3.935719144287048e-05	6.436058e-01
3.944577836552519e-05	6.428922e-01
3.962295221083462e-05	6.414645e-01
3.964665230938114e-05	6.412735e-01
3.969405250647417e-05	6.408913e-01
3.978885290066023e-05	6.401269e-01
3.981139921162788e-05	6.399450e-01
3.985649183356319e-05	6.395813e-01
3.991081475612937e-05	6.391430e-01
3.991181475612938e-05	6.391350e-01
3.991381475612938e-05	6.391189e-01
3.991781475612939e-05	6.390865e-01
3.992322308820190e-05	6.390429e-01
3.993403975234692e-05	6.389557e-01
3.995567308063695e-05	6.387811e-01
3.995773334341993e-05	6.387644e-01
3.996185386898588e-05	6.387312e-01
3.997009492011778e-05	6.386647e-01
3.998589466660299e-05	6.385372e-01
3.998689466660300e-05	6.385291e-01
3.998889466660300e-05	6.385130e-01
3.999289466660301e-05	6.384807e-01
3.999571678560468e-05	6.384579e-01
3.999671678560468e-05	6.384498e-01
3.999871678560469e-05	6.384337e-01
3.999971678560469e-05	6.384256e-01
4.000000000000000e-05	6.384233e-01
4.000043357120938e-05	6.384199e-01
4.000050982397272e-05	6.384192e-01
4.000061985541423e-05	6.384183e-01
4.000068557780211e-05	6.384178e-01
4.000074647758859e-05	6.384173e-01
4.000079697851620e-05	6.384169e-01
4.000084869641350e-05	6.384165e-01
4.000089702421165e-05	6.384161e-01
4.000094736947378e-05	6.384157e-01
4.000100000000000e-05	6.384153e-01
4.000100526305262e-05	6.384152e-01
4.000101578915786e-05	6.384152e-01
4.000102707554102e-05	6.384150e-01
4.000104062747168e-05	6.384149e-01
4.000106773133300e-05	6.384147e-01
4.000112193905564e-05	6.384143e-01
4.000123035450092e-05	6.384134e-01
4.000135987205573e-05	6.384124e-01
4.000154181066757e-05	6.384109e-01
4.000175085158759e-05	6.384092e-01
4.000200000000000e-05	6.384072e-01
4.000202491484124e-05	6.384070e-01
4.000207474452372e-05	6.384066e-01
4.000217440388869e-05	6.384058e-01
4.000237372261863e-05	6.384042e-01
4.000267969656964e-05	6.384017e-01
4.000302751470151e-05	6.383989e-01
4.000334453240874e-05	6.383963e-01
4.000369590420833e-05	6.383935e-01
4.000429087360661e-05	6.383887e-01
4.000485148327557e-05	6.383842e-01
4.000547936660828e-05	6.383791e-01
4.000599044704742e-05	6.383750e-01
4.000654625907240e-05	6.383705e-01
4.000720650974656e-05	6.383651e-01
