time,Vvrain,Vvgate,Vn004,-IR1,IM1
3.792153562521498e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850121e-06,1.951800e-07
3.792153757834014e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850121e-06,1.951709e-07
3.792154148459046e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850120e-06,1.951252e-07
3.792154929709002e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850119e-06,1.951202e-07
3.792156492209023e-06,5.091071e+01,4.774472e-01,0.000000e+00,-2.850117e-06,1.951215e-07
3.792165867209040e-06,5.091071e+01,4.774472e-01,0.000000e+00,-2.850105e-06,1.951107e-07
3.792203367208999e-06,5.091071e+01,4.774467e-01,0.000000e+00,-2.850057e-06,1.950851e-07
3.792205710958976e-06,5.091071e+01,4.774467e-01,0.000000e+00,-2.850054e-06,1.950793e-07
3.792208835959017e-06,5.091071e+01,4.774467e-01,0.000000e+00,-2.850051e-06,1.950789e-07
3.792215085958992e-06,5.091071e+01,4.774466e-01,0.000000e+00,-2.850043e-06,1.950770e-07
3.794090085959523e-06,5.091069e+01,4.774261e-01,0.000000e+00,-2.847646e-06,1.938113e-07
3.794191648459578e-06,5.091069e+01,4.774250e-01,0.000000e+00,-2.847516e-06,1.937434e-07
3.794201023459595e-06,5.091069e+01,4.774249e-01,0.000000e+00,-2.847504e-06,1.937366e-07
3.794213523459545e-06,5.091069e+01,4.774248e-01,0.000000e+00,-2.847488e-06,1.937279e-07
3.794213914084577e-06,5.091069e+01,4.774248e-01,0.000000e+00,-2.847488e-06,1.937272e-07
3.794214695334534e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847487e-06,1.937256e-07
3.794214890647050e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847487e-06,1.937248e-07
3.794215281272082e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847486e-06,1.937222e-07
3.794216257834554e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847485e-06,1.937111e-07
3.794216648459587e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.936990e-07
3.794216746115845e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.936978e-07
3.794216941428361e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.937372e-07
3.794216990256490e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.937481e-07
3.794217087912748e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.937754e-07
3.794217112326813e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.937480e-07
3.794217161154942e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.936822e-07
3.794217258811200e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847484e-06,1.937057e-07
3.794217454123716e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847483e-06,1.937441e-07
3.794217844748748e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847483e-06,1.937288e-07
3.794218625998705e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847482e-06,1.937215e-07
3.794218821311221e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847482e-06,1.937223e-07
3.794219211936253e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847481e-06,1.937339e-07
3.794219309592511e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847481e-06,1.937274e-07
3.794219504905027e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847481e-06,1.937102e-07
3.794219895530060e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847480e-06,1.937143e-07
3.794220676780016e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847479e-06,1.937259e-07
3.794222239280037e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847477e-06,1.937214e-07
3.794225364280078e-06,5.091069e+01,4.774247e-01,0.000000e+00,-2.847473e-06,1.937194e-07
3.794275364279987e-06,5.091069e+01,4.774241e-01,0.000000e+00,-2.847409e-06,1.936862e-07
3.794287864279937e-06,5.091069e+01,4.774240e-01,0.000000e+00,-2.847393e-06,1.936779e-07
3.794288254904969e-06,5.091069e+01,4.774240e-01,0.000000e+00,-2.847393e-06,1.936803e-07
3.794289036154926e-06,5.091069e+01,4.774239e-01,0.000000e+00,-2.847392e-06,1.936838e-07
3.794290598654946e-06,5.091069e+01,4.774239e-01,0.000000e+00,-2.847390e-06,1.936782e-07
3.794293723654988e-06,5.091069e+01,4.774239e-01,0.000000e+00,-2.847386e-06,1.936733e-07
3.794299973654963e-06,5.091069e+01,4.774238e-01,0.000000e+00,-2.847378e-06,1.936705e-07
3.794321848654930e-06,5.091069e+01,4.774236e-01,0.000000e+00,-2.847350e-06,1.936546e-07
3.794409348654906e-06,5.091069e+01,4.774226e-01,0.000000e+00,-2.847238e-06,1.935961e-07
3.797496848655796e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843300e-06,1.915165e-07
3.797499973655838e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843296e-06,1.915084e-07
3.797500071312096e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843296e-06,1.915136e-07
3.797500266624612e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843295e-06,1.915284e-07
3.797500657249644e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843295e-06,1.915271e-07
3.797501438499600e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843294e-06,1.915067e-07
3.797503000999621e-06,5.091066e+01,4.773889e-01,0.000000e+00,-2.843292e-06,1.915053e-07
3.797506125999663e-06,5.091066e+01,4.773888e-01,0.000000e+00,-2.843288e-06,1.915111e-07
3.797524875999588e-06,5.091066e+01,4.773886e-01,0.000000e+00,-2.843264e-06,1.914982e-07
3.797887375999657e-06,5.091066e+01,4.773847e-01,0.000000e+00,-2.842802e-06,1.912542e-07
3.797888938499678e-06,5.091066e+01,4.773846e-01,0.000000e+00,-2.842800e-06,1.912564e-07
3.797889329124711e-06,5.091066e+01,4.773846e-01,0.000000e+00,-2.842800e-06,1.912569e-07
3.797890110374667e-06,5.091066e+01,4.773846e-01,0.000000e+00,-2.842799e-06,1.912526e-07
3.797891672874688e-06,5.091066e+01,4.773846e-01,0.000000e+00,-2.842797e-06,1.912438e-07
3.797901047874704e-06,5.091066e+01,4.773845e-01,0.000000e+00,-2.842785e-06,1.912447e-07
3.800051047875221e-06,5.091064e+01,4.773611e-01,0.000000e+00,-2.840048e-06,1.898001e-07
3.800063547875171e-06,5.091064e+01,4.773609e-01,0.000000e+00,-2.840032e-06,1.897922e-07
3.800066672875213e-06,5.091064e+01,4.773609e-01,0.000000e+00,-2.840028e-06,1.897889e-07
3.800067454125169e-06,5.091064e+01,4.773609e-01,0.000000e+00,-2.840027e-06,1.897884e-07
3.800069407250222e-06,5.091064e+01,4.773608e-01,0.000000e+00,-2.840025e-06,1.897894e-07
3.800071751000199e-06,5.091064e+01,4.773608e-01,0.000000e+00,-2.840022e-06,1.897890e-07
3.800074876000241e-06,5.091064e+01,4.773608e-01,0.000000e+00,-2.840017e-06,1.897832e-07
3.800081126000216e-06,5.091064e+01,4.773607e-01,0.000000e+00,-2.840010e-06,1.897796e-07
3.800168626000191e-06,5.091064e+01,4.773598e-01,0.000000e+00,-2.839898e-06,1.897210e-07
3.803918626001036e-06,5.091061e+01,4.773189e-01,0.000000e+00,-2.835135e-06,1.872067e-07
3.803970188501074e-06,5.091061e+01,4.773183e-01,0.000000e+00,-2.835069e-06,1.871724e-07
3.803973313501116e-06,5.091061e+01,4.773183e-01,0.000000e+00,-2.835065e-06,1.871707e-07
3.803992063501041e-06,5.091061e+01,4.773181e-01,0.000000e+00,-2.835042e-06,1.871578e-07
3.805054563501349e-06,5.091060e+01,4.773065e-01,0.000000e+00,-2.833694e-06,1.864467e-07
3.805067063501299e-06,5.091060e+01,4.773064e-01,0.000000e+00,-2.833678e-06,1.864381e-07
3.805070188501341e-06,5.091060e+01,4.773063e-01,0.000000e+00,-2.833674e-06,1.864363e-07
3.805070969751297e-06,5.091060e+01,4.773063e-01,0.000000e+00,-2.833673e-06,1.864354e-07
3.805072532251318e-06,5.091060e+01,4.773063e-01,0.000000e+00,-2.833671e-06,1.864326e-07
3.805075657251360e-06,5.091060e+01,4.773063e-01,0.000000e+00,-2.833667e-06,1.864291e-07
3.805081907251335e-06,5.091060e+01,4.773062e-01,0.000000e+00,-2.833659e-06,1.864270e-07
3.805094407251285e-06,5.091060e+01,4.773061e-01,0.000000e+00,-2.833644e-06,1.864200e-07
3.805169407251311e-06,5.091059e+01,4.773053e-01,0.000000e+00,-2.833548e-06,1.863698e-07
3.805381907251329e-06,5.091059e+01,4.773029e-01,0.000000e+00,-2.833279e-06,1.862277e-07
3.805385032251371e-06,5.091059e+01,4.773029e-01,0.000000e+00,-2.833275e-06,1.862254e-07
3.805395969751408e-06,5.091059e+01,4.773028e-01,0.000000e+00,-2.833261e-06,1.862179e-07
3.805402219751383e-06,5.091059e+01,4.773027e-01,0.000000e+00,-2.833254e-06,1.862135e-07
3.805424094751350e-06,5.091059e+01,4.773025e-01,0.000000e+00,-2.833226e-06,1.861988e-07
3.805500210822788e-06,5.091059e+01,4.773017e-01,0.000000e+00,-2.833129e-06,1.861481e-07
3.805576326894226e-06,5.091059e+01,4.773008e-01,0.000000e+00,-2.833033e-06,1.860974e-07
3.805652442965664e-06,5.091059e+01,4.773000e-01,0.000000e+00,-2.832936e-06,1.860467e-07
3.805728559037102e-06,5.091059e+01,4.772992e-01,0.000000e+00,-2.832840e-06,1.859959e-07
3.805804675108540e-06,5.091059e+01,4.772983e-01,0.000000e+00,-2.832743e-06,1.859452e-07
3.805880791179979e-06,5.091059e+01,4.772975e-01,0.000000e+00,-2.832647e-06,1.858944e-07
3.805956907251416e-06,5.091059e+01,4.772967e-01,0.000000e+00,-2.832551e-06,1.858437e-07
3.805960032251458e-06,5.091059e+01,4.772967e-01,0.000000e+00,-2.832547e-06,1.858415e-07
