time,IL1
4.005568080299563e-05,6.346321e-01
4.005702069276843e-05,6.346229e-01
4.005743755836884e-05,6.346207e-01
4.005753264686058e-05,6.346204e-01
4.005758162581286e-05,6.346203e-01
4.005763098615042e-05,6.346202e-01
4.005767309712353e-05,6.346202e-01
4.005771642135860e-05,6.346202e-01
4.005776737551770e-05,6.346201e-01
4.005782484662290e-05,6.346201e-01
4.005790923215394e-05,6.346200e-01
4.005801518107952e-05,6.346200e-01
4.005821347014341e-05,6.346199e-01
4.005842405859935e-05,6.346198e-01
4.005884523551122e-05,6.346198e-01
4.005928487274485e-05,6.346199e-01
4.006016414721210e-05,6.346205e-01
4.006143172958749e-05,6.346222e-01
4.006396689433827e-05,6.346288e-01
4.006852756981216e-05,6.346509e-01
4.007764892075994e-05,6.347252e-01
4.009000627963242e-05,6.348746e-01
4.010466707701805e-05,6.351115e-01
4.012217382254352e-05,6.354598e-01
4.013984616697505e-05,6.358799e-01
4.016507549853201e-05,6.365890e-01
4.019607264763076e-05,6.375721e-01
4.020455585823784e-05,6.378623e-01
4.021285166629321e-05,6.381561e-01
4.021874460280312e-05,6.383656e-01
4.022447537688076e-05,6.385698e-01
4.023040819309658e-05,6.387816e-01
4.023593181979564e-05,6.389790e-01
4.024211320001348e-05,6.392000e-01
4.024835783715636e-05,6.394235e-01
4.025547270552406e-05,6.396782e-01
4.026347153604837e-05,6.399649e-01
4.027333884853225e-05,6.403186e-01
4.028560269592454e-05,6.407585e-01
4.030316996863146e-05,6.413888e-01
4.032795162415649e-05,6.422784e-01
4.036687398847304e-05,6.436762e-01
4.040854758332455e-05,6.451730e-01
4.046012678360343e-05,6.470256e-01
