time	V(N001,Vo)
1.998728384288706e-05	-9.945841e-01
1.998828384288706e-05	-9.945898e-01
1.999028384288706e-05	-9.946012e-01
1.999428384288705e-05	-9.946260e-01
1.999574850947750e-05	-9.946356e-01
1.999807066681910e-05	-9.946508e-01
1.999907066681910e-05	-9.946575e-01
2.000007066681910e-05	-9.946642e-01
2.000100000000000e-05	-9.947224e-01
2.000100204511050e-05	-9.947166e-01
2.000100613533149e-05	-9.947071e-01
2.000101431577348e-05	-9.946938e-01
2.000102608153615e-05	-9.946833e-01
2.000104961306149e-05	-9.946747e-01
2.000109039152935e-05	-9.946728e-01
2.000117194846508e-05	-9.946756e-01
2.000128845274759e-05	-9.946833e-01
2.000144510112781e-05	-9.946995e-01
2.000163762658586e-05	-9.947271e-01
2.000176103006022e-05	-9.947500e-01
2.000200000000000e-05	-9.948034e-01
2.000202389699398e-05	-9.948092e-01
2.000207169098193e-05	-9.948206e-01
2.000216727895784e-05	-9.948416e-01
2.000235845490966e-05	-9.948740e-01
2.000266974785481e-05	-9.949121e-01
2.000301372091745e-05	-9.949389e-01
2.000333418746174e-05	-9.949551e-01
2.000367913861455e-05	-9.949675e-01
2.000426572981018e-05	-9.949865e-01
2.000483560015155e-05	-9.950199e-01
2.000544848937979e-05	-9.950933e-01
2.000596970582616e-05	-9.951963e-01
2.000652751907083e-05	-9.953346e-01
2.000717333452857e-05	-9.955034e-01
2.000831052046333e-05	-9.957895e-01
2.000962125808238e-05	-9.960823e-01
2.001180846082048e-05	-9.964981e-01
2.001341649519377e-05	-9.967623e-01
2.001491972590998e-05	-9.969826e-01
2.001668343336958e-05	-9.972210e-01
2.001801529033422e-05	-9.973898e-01
2.001897010065476e-05	-9.975014e-01
2.001966287286296e-05	-9.975739e-01
2.002045554488418e-05	-9.976492e-01
2.002139726323521e-05	-9.977341e-01
2.002219531300519e-05	-9.978018e-01
2.002290516203336e-05	-9.978571e-01
2.002378215499420e-05	-9.979191e-01
2.002468567863527e-05	-9.979773e-01
2.002571096889045e-05	-9.980392e-01
2.002690365914196e-05	-9.981050e-01
2.002928903964497e-05	-9.982214e-01
2.003298625285217e-05	-9.977703e-01
2.003902224593932e-05	-9.903765e-01
2.004240186587504e-05	-9.744701e-01
2.004520836936342e-05	-9.455214e-01
2.004932536396197e-05	-8.431826e-01
2.005315587733312e-05	-2.277946e-02
2.005391813638308e-05	4.916735e-01
2.005449392680072e-05	6.661625e-01
